g,Group_Number,Group_Title,Symbol,Color,Filled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,1,MCFRS Flashover,diamond,Red,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,2,MCFRS Ranch,circle,Black,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q,Quantity,Comparison_Quantities,Scatter_Plot_Title,Ind_Title,Dep_Title,Plot_Min,Plot_Max,%error,Title_Position,Key_Position,Plot_Width(cm),Plot_Filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q,1,HGL_Temperature,FDS Hot Gas Layer Temperature,Measured Temperature Rise ($^\circ$C),Predicted Temperature Rise ($^\circ$C),0,800,13,tl,tl,8,ScatterPlots/HGL_Temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q,2,HGL_Depth,FDS Hot Gas Layer Depth,Measured Layer Depth (m),Predicted Layer Depth (m),0,16,13,tl,tl,8,ScatterPlots/HGL_Depth,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d,Quantity,Dataname,Group,d1_Filename,d1_Col_Name_Row,d1_Ind_Col_Name,d1_Dep_Col_Name,d1_Data_Row,d1_Key,d1_Start,d1_End,d1_Comp_Start,d1_Comp_End,d1_Initial_Value,d2_Filename,d2_Col_Name_Row,d2_Ind_Col_Name,d2_Dep_Col_Name,d2_Data_Row,d2_Key,d2_Start,d2_End,d2_Comp_Start,d2_Comp_End,d2_Initial_Value,Metric,Plot_Title,Ind_Title,Dep_Title,Min_Ind,Max_Ind,Scale_Ind,Min_Dep,Max_Dep,Scale_Dep,Flip_Axis,Title_Position,Key_Position,Plot_Width(cm),Plot_Filename

s,0,MCFRS_Flashover_00leakLL,1,MCFRS/MCFRS_Flashover/Experimental_Data/dummy.csv,2,Time,"['exp1','exp2','exp3']",3,"['exp1','exp2','exp3']",0,1,0,1000,0,MCFRS/MCFRS_Flashover/FDS_Output_Files/MCFRS_Flashover_00leak_devc.csv,2,FDS Time,"['TC_A2','TC_A4','TC_A7']",3,"['TC_A2','TC_A4','TC_A7']",0,1000,0,1000,0,max,Leak LL,Time (s),Temp (C),0,300,1,20,620,1,no,tr,nk,8,MCFRS_Flashover_00leakLL
s,0,MCFRS_Flashover_00leakMM,1,MCFRS/MCFRS_Flashover/Experimental_Data/dummy.csv,2,Time,"['exp1','exp2','exp3']",3,"['exp1','exp2','exp3']",0,1,0,1000,0,MCFRS/MCFRS_Flashover/FDS_Output_Files/MCFRS_Flashover_00leak_devc.csv,2,FDS Time,"['TC_B2','TC_B4','TC_B7']",3,"['TC_B2','TC_B4','TC_B7']",0,1000,0,1000,0,max,Leak MM,Time (s),Temp (C),0,300,1,20,620,1,no,tr,nk,8,MCFRS_Flashover_00leakMM
s,0,MCFRS_Flashover_00leakRR,1,MCFRS/MCFRS_Flashover/Experimental_Data/dummy.csv,2,Time,"['exp1','exp2','exp3']",3,"['exp1','exp2','exp3']",0,1,0,1000,0,MCFRS/MCFRS_Flashover/FDS_Output_Files/MCFRS_Flashover_00leak_devc.csv,2,FDS Time,"['TC_C2','TC_C4','TC_C7']",3,"['TC_C2','TC_C4','TC_C7']",0,1000,0,1000,0,max,Leak RR,Time (s),Temp (C),0,300,1,20,620,1,no,tr,nk,8,MCFRS_Flashover_00leakRR
s,0,MCFRS_Flashover_00openLL,1,MCFRS/MCFRS_Flashover/Experimental_Data/dummy.csv,2,Time,"['exp1','exp2','exp3']",3,"['exp1','exp2','exp3']",0,1,0,1000,0,MCFRS/MCFRS_Flashover/FDS_Output_Files/MCFRS_Flashover_00open_devc.csv,2,FDS Time,"['TC_A2','TC_A4','TC_A7']",3,"['TC_A2','TC_A4','TC_A7']",0,1000,0,1000,0,max,Open LL,Time (s),Temp (C),0,300,1,20,620,1,no,tr,nk,8,MCFRS_Flashover_00openLL
s,0,MCFRS_Flashover_00openMM,1,MCFRS/MCFRS_Flashover/Experimental_Data/dummy.csv,2,Time,"['exp1','exp2','exp3']",3,"['exp1','exp2','exp3']",0,1,0,1000,0,MCFRS/MCFRS_Flashover/FDS_Output_Files/MCFRS_Flashover_00open_devc.csv,2,FDS Time,"['TC_B2','TC_B4','TC_B7']",3,"['TC_B2','TC_B4','TC_B7']",0,1000,0,1000,0,max,Open MM,Time (s),Temp (C),0,300,1,20,620,1,no,tr,nk,8,MCFRS_Flashover_00openMM
s,0,MCFRS_Flashover_00openRR,1,MCFRS/MCFRS_Flashover/Experimental_Data/dummy.csv,2,Time,"['exp1','exp2','exp3']",3,"['exp1','exp2','exp3']",0,1,0,1000,0,MCFRS/MCFRS_Flashover/FDS_Output_Files/MCFRS_Flashover_00open_devc.csv,2,FDS Time,"['TC_C2','TC_C4','TC_C7']",3,"['TC_C2','TC_C4','TC_C7']",0,1000,0,1000,0,max,Open RR,Time (s),Temp (C),0,300,1,20,620,1,no,tr,nk,8,MCFRS_Flashover_00openRR

s,0,MCFRS_Flashover_00leak_temp_0060,1,MCFRS/MCFRS_Flashover/Experimental_Data/dummy_layer.csv,1,Z,"['TEMP_LL','TEMP_MM','TEMP_RR']",3,"['TEMP_LL','TEMP_MM','TEMP_RR']",0,1,0,1000,0,MCFRS/MCFRS_Flashover/FDS_Output_Files/MCFRS_Flashover_00leak_all_0060_f2a.csv,1,Z,"['TEMP_LL','TEMP_MM','TEMP_RR']",3,"['TEMP_LL','TEMP_MM','TEMP_RR']",0,1000,0,1000,0,max,Leak 60,elevation (m),Temperature ($^\circ$C),0,2.4,1,20,620,1,yes,br,nk,8,MCFRS_Flashover_00leak_temp_0060
s,0,MCFRS_Flashover_00leak_temp_0120,1,MCFRS/MCFRS_Flashover/Experimental_Data/dummy_layer.csv,1,Z,"['TEMP_LL','TEMP_MM','TEMP_RR']",3,"['TEMP_LL','TEMP_MM','TEMP_RR']",0,1,0,1000,0,MCFRS/MCFRS_Flashover/FDS_Output_Files/MCFRS_Flashover_00leak_all_0120_f2a.csv,1,Z,"['TEMP_LL','TEMP_MM','TEMP_RR']",3,"['TEMP_LL','TEMP_MM','TEMP_RR']",0,1000,0,1000,0,max,Leak 120,elevation (m),Temperature ($^\circ$C),0,2.4,1,20,620,1,yes,br,nk,8,MCFRS_Flashover_00leak_temp_0120
s,0,MCFRS_Flashover_00leak_temp_0180,1,MCFRS/MCFRS_Flashover/Experimental_Data/dummy_layer.csv,1,Z,"['TEMP_LL','TEMP_MM','TEMP_RR']",3,"['TEMP_LL','TEMP_MM','TEMP_RR']",0,1,0,1000,0,MCFRS/MCFRS_Flashover/FDS_Output_Files/MCFRS_Flashover_00leak_all_0180_f2a.csv,1,Z,"['TEMP_LL','TEMP_MM','TEMP_RR']",3,"['TEMP_LL','TEMP_MM','TEMP_RR']",0,1000,0,1000,0,max,Leak 180,elevation (m),Temperature ($^\circ$C),0,2.4,1,20,620,1,yes,br,nk,8,MCFRS_Flashover_00leak_temp_0180
s,0,MCFRS_Flashover_00open_temp_0060,1,MCFRS/MCFRS_Flashover/Experimental_Data/dummy_layer.csv,1,Z,"['TEMP_LL','TEMP_MM','TEMP_RR']",3,"['TEMP_LL','TEMP_MM','TEMP_RR']",0,1,0,1000,0,MCFRS/MCFRS_Flashover/FDS_Output_Files/MCFRS_Flashover_00open_all_0060_f2a.csv,1,Z,"['TEMP_LL','TEMP_MM','TEMP_RR']",3,"['TEMP_LL','TEMP_MM','TEMP_RR']",0,1000,0,1000,0,max,Open 60,elevation (m),Temperature ($^\circ$C),0,2.4,1,20,620,1,yes,br,nk,8,MCFRS_Flashover_00open_temp_0060
s,0,MCFRS_Flashover_00open_temp_0120,1,MCFRS/MCFRS_Flashover/Experimental_Data/dummy_layer.csv,1,Z,"['TEMP_LL','TEMP_MM','TEMP_RR']",3,"['TEMP_LL','TEMP_MM','TEMP_RR']",0,1,0,1000,0,MCFRS/MCFRS_Flashover/FDS_Output_Files/MCFRS_Flashover_00open_all_0120_f2a.csv,1,Z,"['TEMP_LL','TEMP_MM','TEMP_RR']",3,"['TEMP_LL','TEMP_MM','TEMP_RR']",0,1000,0,1000,0,max,Open 120,elevation (m),Temperature ($^\circ$C),0,2.4,1,20,620,1,yes,br,nk,8,MCFRS_Flashover_00open_temp_0120
s,0,MCFRS_Flashover_00open_temp_0180,1,MCFRS/MCFRS_Flashover/Experimental_Data/dummy_layer.csv,1,Z,"['TEMP_LL','TEMP_MM','TEMP_RR']",3,"['TEMP_LL','TEMP_MM','TEMP_RR']",0,1,0,1000,0,MCFRS/MCFRS_Flashover/FDS_Output_Files/MCFRS_Flashover_00open_all_0180_f2a.csv,1,Z,"['TEMP_LL','TEMP_MM','TEMP_RR']",3,"['TEMP_LL','TEMP_MM','TEMP_RR']",0,1000,0,1000,0,max,Open 180,elevation (m),Temperature ($^\circ$C),0,2.4,1,20,620,1,yes,br,nk,8,MCFRS_Flashover_00open_temp_0180

s,0,MCFRS_Flashover_HRR_00leak,1,Experimental_Data/MCFRS_Flashover_00_exp_hrr.csv,2,Time,HRR,3,HRR exp,0,1,0,1,0,MCFRS/MCFRS_Flashover/FDS_Output_Files/MCFRS_Flashover_00leak_hrr.csv,2,FDS_HRR_Time,HRR,3,HRR FDS,0,1000,0,1000,0,max,HRR leak,Time (s),HRR (kW),0,300,1,0,1500,1,no,br,nk,8,MCFRS_Flashover_00leak_hrr
s,0,MCFRS_Flashover_HRR_00open,1,Experimental_Data/MCFRS_Flashover_00_exp_hrr.csv,2,Time,HRR,3,HRR exp,0,1,0,1,0,MCFRS/MCFRS_Flashover/FDS_Output_Files/MCFRS_Flashover_00open_hrr.csv,2,FDS_HRR_Time,HRR,3,HRR FDS,0,1000,0,1000,0,max,HRR open,Time (s),HRR (kW),0,300,1,0,1500,1,no,br,nk,8,MCFRS_Flashover_00open_hrr

d,0,MCFRS_Flashover_temp_00case3a,1,MCFRS/MCFRS_Flashover/Experimental_Data/mcfrs_flashover_test_03_thcp.csv,2,time,"['TC_A0','TC_A3','TC_A6']",3,"['TC_A0','TC_A3','TC_A6']",0,2000,0,2000,0,MCFRS/MCFRS_Flashover/FDS_Output_Files/MCFRS_Flashover_00case3_devc.csv,2,FDS Time,"['TC_A1','TC_A4','TC_A7']",3,"['TC_A1','TC_A4','TC_A7']",0,2000,0,2000,0,max,Flashover Temp,Time (s),Temp (C),0,1700,1,20,820,1,no,br,nk,8,MCFRS_Flashover_00case3_temp_a
d,0,MCFRS_Flashover_temp_00case3b,1,MCFRS/MCFRS_Flashover/Experimental_Data/mcfrs_flashover_test_03_thcp.csv,2,time,"['TC_B0','TC_B3','TC_B6']",3,"['TC_B0','TC_B3','TC_B6']",0,2000,0,2000,0,MCFRS/MCFRS_Flashover/FDS_Output_Files/MCFRS_Flashover_00case3_devc.csv,2,FDS Time,"['TC_B1','TC_B4','TC_B7']",3,"['TC_B1','TC_B4','TC_B7']",0,2000,0,2000,0,max,Flashover Temp,Time (s),Temp (C),0,1700,1,20,820,1,no,br,nk,8,MCFRS_Flashover_00case3_temp_b
s,0,MCFRS_Flashover_temp_00case3c,1,MCFRS/MCFRS_Flashover/Experimental_Data/mcfrs_flashover_test_03_thcp.csv,2,time,"['TC_C0','TC_C3','TC_C6']",3,"['TC_C0','TC_C3','TC_C6']",0,2000,0,2000,0,MCFRS/MCFRS_Flashover/FDS_Output_Files/MCFRS_Flashover_00case3_devc.csv,2,FDS Time,"['TC_C1','TC_C4','TC_C7']",3,"['TC_C1','TC_C4','TC_C7']",0,2000,0,2000,0,max,Flashover Temp,Time (s),Temp (C),0,1700,1,20,820,1,no,br,nk,8,MCFRS_Flashover_00case3_temp_c

d,0,MCFRS_Flashover_00case3m2_0360LL,1,MCFRS/MCFRS_Flashover/Experimental_Data/mcfrs_flashover_test_03_thcp_a_tran.csv,2,elevation,DT_0360,3,DT_0360,0,1000,0,1000,0,MCFRS/MCFRS_Flashover/FDS_Output_Files/MCFRS_Flashover_00case3m2_all_0360_f2a.csv,1,Z,TEMP_LL,3,TEMP_LL,0,1000,0,1000,0,max,Temp,elevation (m),Temperature ($^\circ$C),0,2.5,1,20,820,1,yes,br,nk,8,MCFRS_Flashover_00case3m2_layer_0360LL
d,0,MCFRS_Flashover_00case3m2_0360MM,1,MCFRS/MCFRS_Flashover/Experimental_Data/mcfrs_flashover_test_03_thcp_b_tran.csv,2,elevation,DT_0360,3,DT_0360,0,1000,0,1000,0,MCFRS/MCFRS_Flashover/FDS_Output_Files/MCFRS_Flashover_00case3m2_all_0360_f2a.csv,1,Z,TEMP_MM,3,TEMP_LL,0,1000,0,1000,0,max,Temp,elevation (m),Temperature ($^\circ$C),0,2.5,1,20,820,1,yes,br,nk,8,MCFRS_Flashover_00case3m2_layer_0360MM
d,0,MCFRS_Flashover_00case3m2_0360RR,1,MCFRS/MCFRS_Flashover/Experimental_Data/mcfrs_flashover_test_03_thcp_c_tran.csv,2,elevation,DT_0360,3,DT_0360,0,1000,0,1000,0,MCFRS/MCFRS_Flashover/FDS_Output_Files/MCFRS_Flashover_00case3m2_all_0360_f2a.csv,1,Z,TEMP_RR,3,TEMP_LL,0,1000,0,1000,0,max,Temp,elevation (m),Temperature ($^\circ$C),0,2.5,1,20,820,1,yes,br,nk,8,MCFRS_Flashover_00case3m2_layer_0360RR






s,0,MCFRS_Tower_leak_4pal_hrr,1,Experimental_Data/MCFRS_Tower_4pal.csv,2,Time,"['TC_A0','TC_A3',,'TC_A6']",3,HRR,0,1000,0,1000,0,FDS_Output_Files/MCFRS_Tower_leak_4pal_hrr.csv,2,FDS_HRR_Time,HRR,3,HRR FDS,0,1000,0,1000,0,max,Leak 4 Pallet HRR,Time (s),HRR (kW),0,1200,1,0,3000,1,no,nt,nk,8,MCFRS_Tower_leak_4pal_hrr
s,0,MCFRS_Tower_leak_6pal_hrr,1,Experimental_Data/MCFRS_Tower_6pal.csv,2,Time,"['TC_A0','TC_A3',,'TC_A6']",3,HRR,0,1000,0,1000,0,FDS_Output_Files/MCFRS_Tower_leak_6pal_hrr.csv,2,FDS_HRR_Time,HRR,3,HRR FDS,0,1000,0,1000,0,max,Leak 6 Pallet HRR,Time (s),HRR (kW),0,1200,1,0,3000,1,no,nt,nk,8,MCFRS_Tower_leak_6pal_hrr
s,0,MCFRS_Tower_open_4pal_hrr,1,Experimental_Data/MCFRS_Tower_4pal.csv,2,Time,"['TC_A0','TC_A3',,'TC_A6']",3,HRR,0,1000,0,1000,0,FDS_Output_Files/MCFRS_Tower_open_4pal_hrr.csv,2,FDS_HRR_Time,HRR,3,HRR FDS,0,1000,0,1000,0,max,Open 4 Pallet HRR,Time (s),HRR (kW),0,1200,1,0,3000,1,no,nt,nk,8,MCFRS_Tower_open_4pal_hrr
s,0,MCFRS_Tower_open_6pal_hrr,1,Experimental_Data/MCFRS_Tower_6pal.csv,2,Time,"['TC_A0','TC_A3',,'TC_A6']",3,HRR,0,1000,0,1000,0,FDS_Output_Files/MCFRS_Tower_open_6pal_hrr.csv,2,FDS_HRR_Time,HRR,3,HRR FDS,0,1000,0,1000,0,max,Open 6 Pallet HRR,Time (s),HRR (kW),0,1200,1,0,3000,1,no,nt,nk,8,MCFRS_Tower_open_6pal_hrr
s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,0,MCFRS_Tower_leak_4pal_temp,1,Experimental_Data/dummy.csv,2,Time,"['exp1','exp2','exp3','exp4','exp5']",3,"['exp1','exp2','exp3','exp4','exp5']",0,1000,0,1000,0,FDS_Output_Files/MCFRS_Tower_leak_4pal_devc.csv,2,FDS Time,"['TEMP_A5ft','TEMP_B5ft','TEMP_C5ft','TEMP_D5ft','TEMP_E5ft']",3,"['TEMP_A5ft','TEMP_B5ft','TEMP_C5ft','TEMP_D5ft','TEMP_E5ft']",0,1000,0,1000,0,max,Leak 4 Temp,Time (s),Temperature,0,1200,1,20,620,1,no,nt,nk,8,MCFRS_Tower_leak_4pal_temp
s,0,MCFRS_Tower_leak_6pal_temp,1,Experimental_Data/dummy.csv,2,Time,"['exp1','exp2','exp3','exp4','exp5']",3,"[' ',' ',' ',' ',' ']",0,1,1,1,0,FDS_Output_Files/MCFRS_Tower_leak_6pal_devc.csv,2,FDS Time,"['TEMP_A5ft','TEMP_B5ft','TEMP_C5ft','TEMP_D5ft','TEMP_E5ft']",3,"['TEMP_A5ft','TEMP_B5ft','TEMP_C5ft','TEMP_D5ft','TEMP_E5ft']",0,1000,0,1000,0,max,Leak 6 Temp,Time (s),Temperature,0,1200,1,20,620,1,no,nt,nk,8,MCFRS_Tower_leak_6pal_temp
s,0,MCFRS_Tower_open_4pal_temp,1,Experimental_Data/dummy.csv,2,Time,"['exp1','exp2','exp3','exp4','exp5']",3,"[' ',' ',' ',' ',' ']",0,1,1,1,0,FDS_Output_Files/MCFRS_Tower_open_4pal_devc.csv,2,FDS Time,"['TEMP_A5ft','TEMP_B5ft','TEMP_C5ft','TEMP_D5ft','TEMP_E5ft']",3,"['TEMP_A5ft','TEMP_B5ft','TEMP_C5ft','TEMP_D5ft','TEMP_E5ft']",0,1000,0,1000,0,max,Open 4 Temp,Time (s),Temperature,0,1200,1,20,620,1,no,nt,nk,8,MCFRS_Tower_open_4pal_temp
s,0,MCFRS_Tower_open_6pal_temp,1,Experimental_Data/dummy.csv,2,Time,"['exp1','exp2','exp3','exp4','exp5']",3,"[' ',' ',' ',' ',' ']",0,1,1,1,0,FDS_Output_Files/MCFRS_Tower_open_6pal_devc.csv,2,FDS Time,"['TEMP_A5ft','TEMP_B5ft','TEMP_C5ft','TEMP_D5ft','TEMP_E5ft']",3,"['TEMP_A5ft','TEMP_B5ft','TEMP_C5ft','TEMP_D5ft','TEMP_E5ft']",0,1000,0,1000,0,max,Open 6 Temp,Time (s),Temperature,0,1200,1,20,620,1,no,nt,nk,8,MCFRS_Tower_open_6pal_temp
s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,0,MCFRS_Tower_leak_4pal_thcp,1,Experimental_Data/dummy.csv,2,Time,"['exp1','exp2','exp3','exp4','exp5']",3,"[' ',' ',' ',' ',' ']",0,1,1,1,0,FDS_Output_Files/MCFRS_Tower_leak_4pal_devc.csv,2,FDS Time,"['THCP_A5ft','THCP_B5ft','THCP_C5ft','THCP_D5ft','THCP_E5ft']",3,"['THCP_A5ft','THCP_B5ft','THCP_C5ft','THCP_D5ft','THCP_E5ft']",0,1000,0,1000,0,max,Leak 4 Thcp,Time (s),Temperature,0,1200,1,20,620,1,no,nt,nk,8,MCFRS_Tower_leak_4pal_thcp
s,0,MCFRS_Tower_leak_6pal_thcp,1,Experimental_Data/dummy.csv,2,Time,"['exp1','exp2','exp3','exp4','exp5']",3,"[' ',' ',' ',' ',' ']",0,1,1,1,0,FDS_Output_Files/MCFRS_Tower_leak_6pal_devc.csv,2,FDS Time,"['THCP_A5ft','THCP_B5ft','THCP_C5ft','THCP_D5ft','THCP_E5ft']",3,"['THCP_A5ft','THCP_B5ft','THCP_C5ft','THCP_D5ft','THCP_E5ft']",0,1000,0,1000,0,max,Leak 6 Thcp,Time (s),Temperature,0,1200,1,20,620,1,no,nt,nk,8,MCFRS_Tower_leak_6pal_thcp
s,0,MCFRS_Tower_open_4pal_thcp,1,Experimental_Data/dummy.csv,2,Time,"['exp1','exp2','exp3','exp4','exp5']",3,"[' ',' ',' ',' ',' ']",0,1,1,1,0,FDS_Output_Files/MCFRS_Tower_open_4pal_devc.csv,2,FDS Time,"['THCP_A5ft','THCP_B5ft','THCP_C5ft','THCP_D5ft','THCP_E5ft']",3,"['THCP_A5ft','THCP_B5ft','THCP_C5ft','THCP_D5ft','THCP_E5ft']",0,1000,0,1000,0,max,Open 4 Thcp,Time (s),Temperature,0,1200,1,20,620,1,no,nt,nk,8,MCFRS_Tower_open_4pal_thcp
s,0,MCFRS_Tower_open_6pal_thcp,1,Experimental_Data/dummy.csv,2,Time,"['exp1','exp2','exp3','exp4','exp5']",3,"[' ',' ',' ',' ',' ']",0,1,1,1,0,FDS_Output_Files/MCFRS_Tower_open_6pal_devc.csv,2,FDS Time,"['THCP_A5ft','THCP_B5ft','THCP_C5ft','THCP_D5ft','THCP_E5ft']",3,"['THCP_A5ft','THCP_B5ft','THCP_C5ft','THCP_D5ft','THCP_E5ft']",0,1000,0,1000,0,max,Open 6 Thcp,Time (s),Temperature,0,1200,1,20,620,1,no,nt,nk,8,MCFRS_Tower_open_6pal_thcp
s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,0,MCFRS_Tower_leak_4pal_co,1,Experimental_Data/dummy.csv,2,Time,"['exp1','exp2','exp3','exp4','exp5']",3,"[' ',' ',' ',' ',' ']",0,1,1,1,0,FDS_Output_Files/MCFRS_Tower_leak_4pal_devc.csv,2,FDS Time,"['CO_A5ft','CO_B5ft','CO_C5ft','CO_D5ft','CO_E5ft']",3,"['CO_A5ft','CO_B5ft','CO_C5ft','CO_D5ft','CO_E5ft']",0,1000,0,1000,0,max,Leak 4 CO,Time (s),CO,0,1200,1,0,0.01,1,no,nt,nk,8,MCFRS_Tower_leak_4pal_co
s,0,MCFRS_Tower_leak_6pal_co,1,Experimental_Data/dummy.csv,2,Time,"['exp1','exp2','exp3','exp4','exp5']",3,"[' ',' ',' ',' ',' ']",0,1,1,1,0,FDS_Output_Files/MCFRS_Tower_leak_6pal_devc.csv,2,FDS Time,"['CO_A5ft','CO_B5ft','CO_C5ft','CO_D5ft','CO_E5ft']",3,"['CO_A5ft','CO_B5ft','CO_C5ft','CO_D5ft','CO_E5ft']",0,1000,0,1000,0,max,Leak 6 CO,Time (s),CO,0,1200,1,0,0.01,1,no,nt,nk,8,MCFRS_Tower_leak_6pal_co
s,0,MCFRS_Tower_open_4pal_co,1,Experimental_Data/dummy.csv,2,Time,"['exp1','exp2','exp3','exp4','exp5']",3,"[' ',' ',' ',' ',' ']",0,1,1,1,0,FDS_Output_Files/MCFRS_Tower_open_4pal_devc.csv,2,FDS Time,"['CO_A5ft','CO_B5ft','CO_C5ft','CO_D5ft','CO_E5ft']",3,"['CO_A5ft','CO_B5ft','CO_C5ft','CO_D5ft','CO_E5ft']",0,1000,0,1000,0,max,Open 4 CO,Time (s),CO,0,1200,1,0,0.01,1,no,nt,nk,8,MCFRS_Tower_open_4pal_co
s,0,MCFRS_Tower_open_6pal_co,1,Experimental_Data/dummy.csv,2,Time,"['exp1','exp2','exp3','exp4','exp5']",3,"[' ',' ',' ',' ',' ']",0,1,1,1,0,FDS_Output_Files/MCFRS_Tower_open_6pal_devc.csv,2,FDS Time,"['CO_A5ft','CO_B5ft','CO_C5ft','CO_D5ft','CO_E5ft']",3,"['CO_A5ft','CO_B5ft','CO_C5ft','CO_D5ft','CO_E5ft']",0,1000,0,1000,0,max,Open 6 CO,Time (s),CO,0,1200,1,0,0.01,1,no,nt,nk,8,MCFRS_Tower_open_6pal_co
s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,0,MCFRS_Tower_leak_4pal_co2,1,Experimental_Data/dummy.csv,2,Time,"['exp1','exp2','exp3','exp4','exp5']",3,"[' ',' ',' ',' ',' ']",0,1,1,1,0,FDS_Output_Files/MCFRS_Tower_leak_4pal_devc.csv,2,FDS Time,"['CO2_A5ft','CO2_B5ft','CO2_C5ft','CO2_D5ft','CO2_E5ft']",3,"['CO2_A5ft','CO2_B5ft','CO2_C5ft','CO2_D5ft','CO2_E5ft']",0,1000,0,1000,0,max,Leak 4 CO2,Time (s),CO2,0,1200,1,0,0.1,1,no,nt,nk,8,MCFRS_Tower_leak_4pal_co2
s,0,MCFRS_Tower_leak_6pal_co2,1,Experimental_Data/dummy.csv,2,Time,"['exp1','exp2','exp3','exp4','exp5']",3,"[' ',' ',' ',' ',' ']",0,1,1,1,0,FDS_Output_Files/MCFRS_Tower_leak_6pal_devc.csv,2,FDS Time,"['CO2_A5ft','CO2_B5ft','CO2_C5ft','CO2_D5ft','CO2_E5ft']",3,"['CO2_A5ft','CO2_B5ft','CO2_C5ft','CO2_D5ft','CO2_E5ft']",0,1000,0,1000,0,max,Leak 6 CO2,Time (s),CO2,0,1200,1,0,0.1,1,no,nt,nk,8,MCFRS_Tower_leak_6pal_co2
s,0,MCFRS_Tower_open_4pal_co2,1,Experimental_Data/dummy.csv,2,Time,"['exp1','exp2','exp3','exp4','exp5']",3,"[' ',' ',' ',' ',' ']",0,1,1,1,0,FDS_Output_Files/MCFRS_Tower_open_4pal_devc.csv,2,FDS Time,"['CO2_A5ft','CO2_B5ft','CO2_C5ft','CO2_D5ft','CO2_E5ft']",3,"['CO2_A5ft','CO2_B5ft','CO2_C5ft','CO2_D5ft','CO2_E5ft']",0,1000,0,1000,0,max,Open 4 CO2,Time (s),CO2,0,1200,1,0,0.1,1,no,nt,nk,8,MCFRS_Tower_open_4pal_co2
