Time,C3H8,O2,CO,CO2,H2O,N2,Temperature,Pressure
   0.00025,   0.06032,   0.21885,   0.00000,   0.00000,   0.00000,   0.72083, 350.00519,   0.87268
   0.04025,   0.06029,   0.21878,   0.00005,   0.00000,   0.00005,   0.72083, 350.84880, 142.75641
   0.08025,   0.06026,   0.21871,   0.00011,   0.00000,   0.00009,   0.72083, 351.72009, 289.31139
   0.12025,   0.06023,   0.21863,   0.00016,   0.00000,   0.00014,   0.72083, 352.62086, 440.84043
   0.16025,   0.06020,   0.21855,   0.00022,   0.00000,   0.00019,   0.72083, 353.55307, 597.67618
   0.20025,   0.06017,   0.21847,   0.00028,   0.00000,   0.00024,   0.72083, 354.51889, 760.18524
   0.24025,   0.06014,   0.21839,   0.00035,   0.00000,   0.00030,   0.72083, 355.52072, 928.77278
   0.28025,   0.06010,   0.21830,   0.00041,   0.00000,   0.00035,   0.72083, 356.56121,1103.88821
   0.32025,   0.06007,   0.21821,   0.00048,   0.00000,   0.00041,   0.72083, 357.64332,1286.03169
   0.36025,   0.06003,   0.21812,   0.00055,   0.00000,   0.00047,   0.72083, 358.77036,1475.76207
   0.40025,   0.05999,   0.21802,   0.00063,   0.00000,   0.00054,   0.72083, 359.94602,1673.70631
   0.44025,   0.05995,   0.21791,   0.00070,   0.00000,   0.00060,   0.72083, 361.17449,1880.57091
   0.48025,   0.05991,   0.21781,   0.00078,   0.00000,   0.00067,   0.72083, 362.46048,2097.15583
   0.52025,   0.05986,   0.21769,   0.00087,   0.00000,   0.00075,   0.72083, 363.80938,2324.37150
   0.56025,   0.05982,   0.21757,   0.00096,   0.00000,   0.00082,   0.72083, 365.22734,2563.26002
   0.60025,   0.05977,   0.21745,   0.00105,   0.00000,   0.00090,   0.72083, 366.72145,2815.02147
   0.64025,   0.05972,   0.21731,   0.00115,   0.00000,   0.00099,   0.72083, 368.29992,3081.04721
   0.68025,   0.05966,   0.21717,   0.00126,   0.00000,   0.00108,   0.72083, 369.97233,3362.96238
   0.72025,   0.05960,   0.21702,   0.00137,   0.00000,   0.00118,   0.72083, 371.74999,3662.68074
   0.76025,   0.05954,   0.21686,   0.00149,   0.00000,   0.00128,   0.72083, 373.64631,3982.47657
   0.80025,   0.05947,   0.21669,   0.00162,   0.00000,   0.00139,   0.72083, 375.67739,4325.08015
   0.84025,   0.05940,   0.21651,   0.00176,   0.00000,   0.00151,   0.72083, 377.86278,4693.80700
   0.88025,   0.05932,   0.21631,   0.00191,   0.00000,   0.00164,   0.72083, 380.22652,5092.73589
   0.92025,   0.05923,   0.21609,   0.00207,   0.00000,   0.00178,   0.72083, 382.79862,5526.95964
   0.96025,   0.05914,   0.21585,   0.00225,   0.00000,   0.00193,   0.72083, 385.61718,6002.94729
   1.00025,   0.05903,   0.21558,   0.00245,   0.00000,   0.00210,   0.72083, 388.73156,6529.08250
   1.04025,   0.05892,   0.21529,   0.00267,   0.00000,   0.00229,   0.72083, 392.20724,7116.49118
   1.08025,   0.05879,   0.21495,   0.00292,   0.00000,   0.00251,   0.72083, 396.13361,7780.36659
   1.12025,   0.05864,   0.21457,   0.00321,   0.00000,   0.00276,   0.72083, 400.63699,8542.19723
   1.16025,   0.05846,   0.21412,   0.00355,   0.00000,   0.00304,   0.72083, 405.90403,9433.74650
   1.20025,   0.05824,   0.21358,   0.00396,   0.00000,   0.00339,   0.72083, 412.22666,10504.73316
   1.24025,   0.05798,   0.21290,   0.00446,   0.00000,   0.00383,   0.72083, 420.09824,11839.25748
   1.28025,   0.05763,   0.21201,   0.00513,   0.00000,   0.00440,   0.72083, 430.45074,13596.35312
   1.32025,   0.05712,   0.21071,   0.00611,   0.00000,   0.00524,   0.72083, 445.38274,16134.65797
   1.36025,   0.05622,   0.20844,   0.00781,   0.00000,   0.00670,   0.72083, 471.47611,20581.53467
   1.40025,   0.05259,   0.19921,   0.01473,   0.00001,   0.01264,   0.72083, 575.00073,38366.89141
   1.44025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   1.48025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   1.52025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   1.56025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   1.60025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   1.64025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   1.68025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   1.72025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   1.76025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   1.80025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   1.84025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   1.88025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   1.92025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   1.96025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   2.00025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   2.04025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   2.08025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   2.12025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   2.16025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   2.20025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   2.24025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   2.28025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   2.32025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   2.36025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   2.40025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   2.44025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   2.48025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   2.52025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   2.56025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   2.60025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   2.64025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   2.68025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   2.72025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   2.76025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   2.80025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   2.84025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   2.88025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   2.92025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   2.96025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   3.00025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   3.04025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   3.08025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   3.12025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   3.16025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   3.20025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   3.24025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   3.28025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   3.32025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   3.36025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   3.40025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   3.44025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   3.48025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   3.52025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   3.56025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   3.60025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   3.64025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   3.68025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   3.72025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   3.76025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   3.80025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   3.84025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   3.88025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   3.92025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   3.96025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
   4.00025,  -0.00000,   0.02275,   0.03983,   0.11802,   0.09857,   0.72083,2544.76241,384938.98924
