U,R_lin,R_quad
0.00E+00,3.00E-02,3.00E-02
0.00E+00,3.00E-02,3.00E-02
0.00E+00,3.00E-02,3.00E-02
0.00E+00,3.00E-02,3.00E-02
1.24E-01,3.15E-02,3.00E-02
1.00E+00,4.20E-02,3.30E-02
1.00E+00,4.20E-02,3.30E-02
1.00E+00,4.20E-02,3.30E-02
1.00E+00,4.20E-02,3.30E-02
1.00E+00,4.20E-02,3.30E-02
1.12E+00,4.35E-02,3.38E-02
2.00E+00,5.40E-02,4.20E-02
2.00E+00,5.40E-02,4.20E-02
2.00E+00,5.40E-02,4.20E-02
2.00E+00,5.40E-02,4.20E-02
2.00E+00,5.40E-02,4.20E-02
2.12E+00,5.54E-02,4.35E-02
3.00E+00,6.60E-02,5.70E-02
3.00E+00,6.60E-02,5.70E-02
3.00E+00,6.60E-02,5.70E-02
3.00E+00,6.60E-02,5.70E-02
3.00E+00,6.60E-02,5.70E-02
3.12E+00,6.74E-02,5.92E-02
4.00E+00,7.80E-02,7.80E-02
4.00E+00,7.80E-02,7.80E-02
4.00E+00,7.80E-02,7.80E-02
4.00E+00,7.80E-02,7.80E-02
4.00E+00,7.80E-02,7.80E-02
4.12E+00,7.94E-02,8.08E-02
5.00E+00,9.00E-02,1.05E-01
5.00E+00,9.00E-02,1.05E-01
5.00E+00,9.00E-02,1.05E-01
5.00E+00,9.00E-02,1.05E-01
,,